[2026-09-16 04:24:01] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:05] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:08] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:11] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:14] ALERT: Red Zone Breach! Intent: FAST APPROACH
[2026-09-16 04:24:18] ALERT: Red Zone Breach! Intent: RUNNING / SPRINTING (CRITICAL THREAT)
[2026-09-16 04:24:21] ALERT: Red Zone Breach! Intent: FAST APPROACH
[2026-09-16 04:24:24] ALERT: Red Zone Breach! Intent: RUNNING / SPRINTING (CRITICAL THREAT)
[2026-09-16 04:24:27] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:31] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:34] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:28:31] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-16 04:28:44] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 04:28:47] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 04:28:50] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-16 04:28:53] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-16 04:28:56] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-16 04:32:02] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 04:32:05] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 04:32:14] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 04:32:21] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 04:32:24] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 04:32:27] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 04:32:30] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 04:32:34] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:57:52] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-16 11:57:55] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-16 11:57:59] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-16 11:58:02] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-16 11:58:41] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-16 11:58:45] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:58:48] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:58:51] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:59:10] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 11:59:13] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:59:16] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:59:19] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-16 11:59:22] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 11:59:25] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 11:59:32] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-16 11:59:35] ALERT: Red Zone Breach! Target #2 | Intent: PATROLLING
[2026-09-16 11:59:39] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-17 15:06:03] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:06:06] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:06:09] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:06:12] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:16] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:19] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:23] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:26] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:29] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:06:32] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:36] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:06:39] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:42] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:06:46] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-17 15:06:49] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:06:52] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:06:55] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:06:58] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:07:01] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:07:05] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:07:08] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
